"Tree Id",Address,"New Data Field","Common Name","Root Issues","Scientific Name",Condition,"Crown/Branch Issues",Status,"Tree Work-Pruning","Trunk Issues","Tree Work-PHC","Tree Work-Other","Primary ID",Targets,"Client Site","Site Factors","Main Issue - Trunk","Main Issue - Branch","Main Issue - Root",Priority,"Health Issues","Load on Branch Defect","Load on Root Defect","Load on Trunk Defect","Fall Distance/Dead-Weak Branches","Likelihood of Failure - Trunk","Likelihood of Failure - Roots","Likelihood of Impact - Roots","Likelihood of Failure - Branches","Likelihood of Impact - Trunk","Likelihood of Failure and Impact - Roots","Likelihood of Failure and Impact - Trunk","Likelihood of Impact - Crown/Branches",AB,"Tree Work-Preservation",Monitor,"Consequences - Roots","Likelihood of Failure and Impact - Branches","Consequences - Trunk",Years,"Risk Rating - Trunk","Risk Rating - Roots","Consequences - Branches",Cycle,Grove,"Risk Rating - Branches","Residence Name","Phone Number",Email,"Tag Number",Veteran/Historic/Memorial?,"Next Inspection","Last Inspection","Inspection Cycle",Notes,"Address Number","Address Street",City,Code,Cultivar,Genus,"Land Use","Land Type","Location on Site",DBH,"DBH Stem 1","DBH Stem 2","DBH Stem 3","DBH Stem 4","DBH Stem 5","DBH Stem 6",User,"Number of Stems (Multi Calc)","Last Modified User","DBH Range","Date Added","Tree Height (Estimated)","Height Range","Last Modified","TPZ Ratio","Tree Protection Zone (TPZ)","CRZ Ratio","Critical Root Zone (CRZ)","Crown Spread","Canopy Shape",Observations-Characteristics,"Pest Management Observations","Observations-Biotic Pest",Observations-Abiotic,"Observation Comments",Longitude,Latitude,Photos,"Tree Work Preservation","Overall Risk Rating","Mitigation Options","Residual Risk",Final/Preliminary?,"Inspection Interval","Sidewalk Infringement","Tree Well Rating","Well Covering",Dimensions
4168,"337 Morgan Street",,"American hornbeam",,"Carpinus caroliniana",Good,,Alive,"Structure Prune",,,,14133,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2754,,,,,,339,"Morgan Street",Phoenixville,CACA,,Carpinus,"Single Family",Street,North,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.519531919113,40.130740587439,16415769296614910899596479012125.jpg_pg_61d879f22d949.jpg,,,,,,,,,,
4167,"238 Hall Street",,"Red maple",,"Acer rubrum",Good,,Alive,"Structure Prune",,,Replant,14132,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2753,,,,,,238,"Hall Street",Phoenixville,ACRU,,Acer,"Single Family",Street,South,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,"Poor planting choice, medium to large size tree planted under power lines ",-75.517112201108,40.131951259968,16415765087514761238837215773264.jpg_pg_61d8784f98d53.jpg,,,,,,,,,,
4166,"236 Hall Street",,Hawthorn,,"Crataegus  species",Good,,Alive,"Structure Prune",,,,14131,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2752,,,,,,236,"Hall Street",Phoenixville,CR,,Crataegus,"Single Family",Street,South,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.517025943221,40.131956152133,16415763880955082764814460111975.jpg_pg_61d877d729ae0.jpg,,,,,,,,,,
4165,"234 Hall Street",,"American hornbeam",,"Carpinus caroliniana",Good,,Alive,"Structure Prune",,,,14130,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2751,,,,,,233,"Hall Street",Phoenixville,CACA,,Carpinus,"Single Family",Street,South,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.516899011985,40.131967874653,164157626677627254141115688395.jpg_pg_61d8776452a12.jpg,,,,,,,,,,
4164,"417 Gay Street",,Honeylocust,,"Gleditsia triacanthos",Good,,Alive,"Structure Prune",,,,14129,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2750,,,,,,417,"Gay Street",Phoenixville,GLTR,,Gleditsia,"Single Family",Street,East,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.516923066995,40.127460104032,1641575184455348882692922127023.jpg_pg_61d873210d376.jpg,,,,,,,,,,
4163,"419 Gay Street",,"Red maple",,"Acer rubrum",Good,,Alive,"Structure Prune",,,,14128,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2749,,,,,,419,"Gay Street",Phoenixville,ACRU,,Acer,"Single Family",Street,East,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.516904267364,40.127403518976,16415750922412180023746190355306.jpg_pg_61d872c5693e8.jpg,,,,,,,,,,
4162,"421 Gay Street",,"Red maple",,"Acer rubrum",Good,,Alive,"Structure Prune",,,,14127,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2748,,,,,,419,"Gay Street",Phoenixville,ACRU,,Acer,"Single Family",Street,East,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.516893404041,40.127343518464,16415750008322495238542842483542.jpg_pg_61d872700f3d8.jpg,,,,,,,,,,
4161,"601 Gay Street",,"London Plane",,"Platanus	x acerifolia",Good,,Alive,"Structure Prune",,,,14126,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2745,,,,,,601,"Gay Street",Phoenixville,PLAC1,,Platanus,"Single Family",Street,East,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.516383022293,40.125793556978,16415745203696488325632377697282.jpg_pg_61d8708e5c59c.jpg,,,,,,,,,,
4160,"619 Gay Street",,"Katsura tree",,"Cercidiphyllum japonicum",Good,,Alive,"Structure Prune",,,,14125,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2743,,,,,,617,"Gay Street",Phoenixville,CEJA,,Cercidiphyllum,"Single Family",Street,East,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.516279686441,40.125468952935,16415741051525160204831757152318.jpg_pg_61d86eed95a83.jpg,,,,,,,,,,
4159,"370 2nd Avenue",,Sweetgum,,"Liquidambar styraciflua",Good,,Alive,"Structure Prune",,,,14124,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2737,,,,,,370,"2nd Avenue",Phoenixville,LIST,,Liquidambar,"Multi Family",Street,South,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/6/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.519993538385,40.127436764698,1641503340001232361908232036661.jpg_pg_61d75a780a845.jpg,,,,,,,,,,
4158,"10 South Main Street",,"Eastern redbud",,"Cercis canadensis",Good,,Alive,"Structure Prune",,,,14123,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2717,,,,,,8,"South Main Street",Phoenixville,CECA,,Cercis,"Small Commercial",Street,West,1,,,,,,,mike,,mike,0-3in,1/6/2022,,N/A,1/6/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.516149890831,40.133661621217,1641497019883993418671139611471.jpg_pg_61d741c95938b.jpg,,,,,,,,,,
4157,"31 Bridge Street",,"Paperbark Maple",,"Acer	griseum",Good,,Alive,"Structure Prune",,,,14122,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2716,,,,,,31,"Bridge Street",Phoenixville,ACGR,,Acer,"Park/ Vacant/ Other",Street,North,1,,,,,,,mike,,mike,0-3in,1/6/2022,,N/A,1/6/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.510685397123,40.13463141346,16414965848763578171757007276582.jpg_pg_61d7401ca9166.jpg,,,,,,,,,,
4156,"137 Emmett Street",,Hawthorn,,"Crataegus  species",Good,,Alive,"Structure Prune",,,,14121,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2715,,,,,,137,"Emmett Street",Phoenixville,CR,,Crataegus,"Park/ Vacant/ Other",Street,South,1,,,,,,,mike,,mike,0-3in,1/6/2022,,N/A,1/6/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.515677783354,40.140628379553,16414961303557277626563108164994.jpg_pg_61d73e59e3dc2.jpg,,,,,,,,,,
4155,"137 Emmett Street",,Hawthorn,,"Crataegus  species",Good,,Alive,"Structure Prune",,,,14120,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2714,,,,,,137,"Emmett Street",Phoenixville,CR,,Crataegus,"Park/ Vacant/ Other",Street,South,1,,,,,,,mike,,mike,0-3in,1/6/2022,,N/A,1/6/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.515599461733,40.140644881234,16414960599107363480749877942321.jpg_pg_61d73e14c35b0.jpg,,,,,,,,,,
4153,"266 Grant Street",,Yellowwood,,"Cladrastis kentukea",Good,,Alive,"Structure Prune",,,,14118,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2709,,,,,,266,"Grant Street",Phoenixville,CLLU,,Cladrastis,"Single Family",Street,South,1,,,,,,,mike,,mike,0-3in,10/18/2021,,N/A,1/6/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.517420556812,40.141428922738,16414946269463867325036195088255.jpg_pg_61d738797c59f.jpg,,,,,,,,,,
4152,"401 Dayton Street",,"Eastern hophornbeam",,"Ostrya virginiana",Good,,Alive,"Structure Prune",,,,14117,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2699,,,,,,401,"Dayton Street",Phoenixville,OSVI,,Ostrya,"Single Family",Street,East,1,,,,,,,mike,,mike,0-3in,10/18/2021,,N/A,1/6/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.514809982051,40.142139015728,16414886410058037274499402075558.jpg_pg_61d7211a7ec22.jpg,,,,,,,,,,
4151,"321 Dayton Street",,"Japanese tree lilac",,"Syringa reticulata",Good,,Alive,"Structure Prune",,,,14116,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2698,,,,,,321,"Dayton Street",Phoenixville,SYRE,,Syringa,"Single Family",Street,East,1,,,,,,,mike,,mike,0-3in,10/18/2021,,N/A,1/6/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.514619625195,40.14176444834,16414884137127349299098810840252.jpg_pg_61d7203ae8124.jpg,,,,,,,,,,
4150,"237 Dayton Street",,,,,,,Stump,,,,"Replant, Stump Grind",14114,,"Borough of Phoenixville",,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,237,"Dayton Street",Phoenixville,,,,,,,,,,,,,,mike,,mike,N/A,1/6/2022,,N/A,1/6/2022,,,,,,,,,,,,-75.514221287371,40.140962729935,,,,,,,,,,,
4149,"118 Dayton Street",,Baldcypress,,"Taxodium distichum",Good,,Alive,"Structure Prune",,,,14113,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2690,,,,,,118,"Dayton Street",Phoenixville,TADI,,Taxodium,"Single Family",Street,West,1,,,,,,,mike,,mike,0-3in,10/18/2021,,N/A,1/6/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.513537499477,40.139300076268,16414866939281390488493693321425.jpg_pg_61d7197e7574c.jpg,,,,,,,,,,
4148,"118 Dayton Street",,"American hornbeam",,"Carpinus caroliniana",Good,,Alive,"Structure Prune",,,,14112,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2689,,,,,,118,"Dayton Street",Phoenixville,CACA,,Carpinus,"Single Family",Street,West,1,,,,,,,mike,,mike,0-3in,10/18/2021,,N/A,1/6/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.513510763559,40.139253062579,16414865760646163604272993465910.jpg_pg_61d7190b26117.jpg,,,,,,,,,,
4147,"112 Dayton Street",,"Katsura tree",,"Cercidiphyllum japonicum",Good,,Alive,"Structure Prune",,,,14111,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2688,,,,,,118,"Dayton Street",Phoenixville,CEJA,,Cercidiphyllum,"Single Family",Street,West,1,,,,,,,mike,,mike,0-3in,10/18/2021,,N/A,1/6/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.513492955944,40.139207414771,16414864401207088803975045241148.jpg_pg_61d7188002abd.jpg,,,,,,,,,,
4146,"20 High Street",,"Tulip tree",,"Liriodendron tulipifera",Good,,Alive,"Structure Prune",,"Mulch, Root zone improvement",,13801,,"Borough of Phoenixville",,,,,Medium,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2684,,,,,,20,"High Street",Phoenixville,LITU,,Liriodendron,"Single Family",Street,,3,,,,,,,mike,,mike,3-6in,11/5/2021,,N/A,11/5/2021,,,,,,Symmetrical,"Compacted Soil",,,,,-75.512109100157,40.139177533609,16361307047057726234646455867574.jpg_pg_61855fa740d44.jpg,,,,,,,,,,
4145,"20 High Street",,"Tulip tree",,"Liriodendron tulipifera",Good,,Alive,"Structure Prune",,"Mulch, Root zone improvement",,13800,,"Borough of Phoenixville",,,,,Medium,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2683,,,,,,20,"High Street",Phoenixville,LITU,,Liriodendron,"Multi Family",Street,,2,,,,,,,mike,,mike,0-3in,11/5/2021,,N/A,11/5/2021,,,,,,Symmetrical,"Compacted Soil",,,,,-75.512209344445,40.139153057733,1636130567030886240498887738882.jpg_pg_61855f1f71cbc.jpg,,,,,,,,,,
4144,"20 High Street",,"Tulip tree",,"Liriodendron tulipifera",Good,,Alive,"Structure Prune",,"Mulch, Root zone improvement",,13799,,"Borough of Phoenixville",,,,,Medium,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2682,,,,,,20,"High Street",Phoenixville,LITU,,Liriodendron,"Multi Family",Street,,2,,,,,,,mike,,mike,0-3in,11/5/2021,,N/A,11/5/2021,,,,,,Symmetrical,"Compacted Soil",,,,,-75.512242130538,40.139137460355,1636130470276335620891197954200.jpg_pg_61855eb866e08.jpg,,,,,,,,,,
4143,"28 Railroad Street",,"American sycamore",,"Platanus occidentalis",Good,,Alive,"Crown Clean, Reduce end weight",,,Cable,13798,,"Borough of Phoenixville",,,,,Medium,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2681,,,,,,28,"Railroad Street",Phoenixville,PLOC,,Platanus,"Single Family",Street,,48,,,,,,,mike,,mike,>30in,11/5/2021,,N/A,11/5/2021,,,,,,Symmetrical,"Vine growth",,,,,-75.512900721912,40.138041015366,16361300325938340054547706678833.jpg_pg_61855d070e602.jpg,,,,,,,,,,
4142,"132 High Street",,Basswood,,"Tilia  species",Good,,Alive,"Crown Clean, Reduce end weight",,,Cable,13797,,"Borough of Phoenixville",,,,,Medium,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2680,,,,,,132,"High Street",Phoenixville,TI,,Tilia,"Park/ Vacant/ Other",,,18.79,11,6,14,,,,mike,"Multiple Stems",mike,18-24in,11/5/2021,,N/A,11/5/2021,,,,,,Symmetrical,"Co-dominant tree, Over pruned, Weak attachments",,,,,-75.514518681507,40.138338621594,16361295559172344025968495794387.jpg_pg_61855b31ba230.jpg,,,,,,,,,,
4141,"132 High Street",,Elm,,Elm,Fair,,Alive,"Crown Clean, Crown Restoration",,,,13796,,"Borough of Phoenixville",,,,,Medium,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2679,,,,,,132,"High Street",Phoenixville,ULS,,Elm,"Park/ Vacant/ Other",,,13,,,,,,,mike,,mike,12-18in,11/5/2021,,N/A,11/5/2021,,,,,,Symmetrical,"Included Bark, Over pruned",,Canker,,,-75.514655631,40.13837971088,16361293478025286421050879957675.jpg_pg_61855a669ad40.jpg,,,,,,,,,,
4140,"132 High Street",,Basswood,,"Tilia  species",Good,,Alive,"Crown Clean, Structure Prune",,"Mulch, Root zone improvement",,13795,,"Borough of Phoenixville",,,,,Medium,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2678,,,,,,132,"High Street",Phoenixville,TI,,Tilia,"Park/ Vacant/ Other",,,15,,,,,,,mike,,mike,12-18in,11/5/2021,,N/A,11/5/2021,,,,,,Symmetrical,"Co-dominant Limbs, Crack, Included Bark, Over pruned, Weak attachments",,,,,-75.51457036517,40.138414653431,16361291732682040555516013201754.jpg_pg_618559bf203cf.jpg,,,,,,,,,,
4139,"132 High Street",,"Red maple",,"Acer rubrum",Good,,Alive,"Crown Clean",,"Mulch, Root zone improvement",,13794,,"Borough of Phoenixville",,,,,Medium,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2677,,,,,,132,"High Street",Phoenixville,ACRU,,Acer,"Park/ Vacant/ Other",,,9,,,,,,,mike,,mike,6-12in,11/5/2021,,N/A,11/5/2021,,,,,,Symmetrical,"Leaning trunk",,,,,-75.514435497687,40.138452327819,16361290108878403329257966184427.jpg_pg_6185590fea681.jpg,,,,,,,,,,
4138,"223 Prospect Street",,"Japanese pagoda tree",,"Sophora japonica",Fair,,Alive,"Crown Clean",,Mulch,,13793,,"Borough of Phoenixville",,,,,Medium,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2676,,,,,,223,"Prospect Street",Phoenixville,SOJA,,Sophora,"Park/ Vacant/ Other",,,18,,,,,,,mike,,mike,18-24in,11/5/2021,,N/A,11/5/2021,,,,,,Symmetrical,"Co-dominant Limbs, Included Bark",,,,,-75.516848122687,40.13327010793,16361275343847574349074036013127.jpg_pg_6185534ff0b32.jpg,,,,,,,,,,
4137,"223 Prospect Street",,"Japanese pagoda tree",,"Sophora japonica",Poor,,Alive,,,,"Remove, Replant",13792,,"Borough of Phoenixville",,,,,High,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2675,,,,,,223,"Prospect Street",Phoenixville,SOJA,,Sophora,"Park/ Vacant/ Other",,,16,,,,,,,mike,,mike,12-18in,11/5/2021,,N/A,11/5/2021,,,,,,Asymmetrical,"Broken Limb, Cavity, Leaning trunk, Over Extended",,Canker,,,-75.516896150195,40.133267740057,"16361272928637421484632412383859.jpg_pg_618552658e4eb.jpg,16361273539928432101469910220017.jpg_pg_6185529fdf1e7.jpg",,,,,,,,,,
4136,"234 Bridge Street",,"Japanese pagoda tree",,"Sophora japonica",Poor,,Alive,,,,"Remove, Replant",13791,,"Borough of Phoenixville",,,,,High,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2674,,,,,,234,"Bridge Street",Phoenixville,SOJA,,Sophora,"Park/ Vacant/ Other",,,13,,,,,,,mike,,mike,12-18in,11/5/2021,,N/A,11/5/2021,,,,,,Symmetrical,"Broken Limb, Cavity, Crack, Weak attachments",,,,,-75.517630539102,40.133160439594,16361270285186016194814987974221.jpg_pg_6185515a57133.jpg,,,,,,,,,,
4135,"247 Church Street",,"Eastern redbud",,"Cercis canadensis",Poor,,Alive,,,,"Remove, Replant",13790,,"Borough of Phoenixville",,,,,Medium,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2673,,,,,,247,"Church Street",Phoenixville,CECA,,Cercis,"Park/ Vacant/ Other",,,8,,,,,,,mike,,mike,6-12in,11/5/2021,,N/A,11/5/2021,,,,,,Symmetrical,"Cavity, Soil Weakness",,Fungus,,,-75.517622651846,40.133066292793,"16361267579244638029509498417531.jpg_pg_6185504155862.jpg,16361267731084141688881857435593.jpg_pg_6185504cde86f.jpg",,,,,,,,,,
